"city","views","artist","first_popular","lat","lng"
"Agra","26164","Alyosha","https://www.youtube.com/watch?v=iyoakIm6R84",27.1766701,78.0080745
"Agra","269830","Kavabanga Depo Kolibri","https://www.youtube.com/watch?v=ItL2EToQcKg",27.1766701,78.0080745
"Agra","111928","The Hardkiss","https://www.youtube.com/watch?v=8YwWMYEzhdI",27.1766701,78.0080745
"Agra","13667","Анна Седокова","https://www.youtube.com/watch?v=GF3QwA6bjjo",27.1766701,78.0080745
"Ahmedabad","18314","Анна Седокова","https://www.youtube.com/watch?v=GF3QwA6bjjo",23.022505,72.5713621
"Ahmedabad","497471","Kavabanga Depo Kolibri","https://www.youtube.com/watch?v=ItL2EToQcKg",23.022505,72.5713621
"Ahmedabad","21851","The Hardkiss","https://www.youtube.com/watch?v=8YwWMYEzhdI",23.022505,72.5713621
"Ahmedabad","4020","Alyosha","https://www.youtube.com/watch?v=iyoakIm6R84",23.022505,72.5713621
"Aktau","130174","Open Kids","https://www.youtube.com/watch?v=kSrd4zDNEZ0",43.6588079,51.1974563
"Aktau","31044","Quest Pistols Show","https://www.youtube.com/watch?v=eCkBdziK5RM",43.6588079,51.1974563
"Aktobe","28216","DSIDE BAND","https://www.youtube.com/watch?v=Sttj6Osdbf0",50.2839339,57.166978
"Aktobe","130916","Boosin","https://www.youtube.com/watch?v=CTwiB1uw9sQ",50.2839339,57.166978
"Aktobe","39903","ТамерланАлёна","https://www.youtube.com/watch?v=Ln0pEzTp-bo",50.2839339,57.166978
"Aktobe","88828","ЯрмаК","https://www.youtube.com/watch?v=tzWggCnYVWU",50.2839339,57.166978
"Aktobe","923226","KAZKA","https://www.youtube.com/watch?v=5Fv19KVVya8",50.2839339,57.166978
"Aktobe","12132","Потап и Настя","https://www.youtube.com/watch?v=TlPTO6WstRU",50.2839339,57.166978
"Aktobe","49851","Quest Pistols Show","https://www.youtube.com/watch?v=eCkBdziK5RM",50.2839339,57.166978
"Aktobe","388083","Artik & Asti","https://www.youtube.com/watch?v=c7qR3cK8KBs",50.2839339,57.166978
"Aktobe","433935","Ани Лорак","https://www.youtube.com/watch?v=PDm9HfLCagM",50.2839339,57.166978
