"Artist.Name","Rank","Views","week","sumWeek","sumViews"
"Alekseev",58,702102,2019-01-24,8,4974468
"Alekseev",94,584289,2019-02-14,8,4974468
"Alekseev",75,627664,2019-01-31,8,4974468
"Alekseev",87,602369,2019-02-28,8,4974468
"Alekseev",82,616206,2019-02-21,8,4974468
"Alekseev",57,670437,2019-06-06,8,4974468
"Alekseev",88,595077,2019-02-07,8,4974468
"Alekseev",100,576324,2019-03-07,8,4974468
"Alyona Alyona",74,577079,2019-08-08,1,577079
"Alyosha",87,607504,2019-03-07,1,607504
"Andro",49,759106,2019-08-29,3,1969985
"Andro",80,551612,2019-09-19,3,1969985
"Andro",59,659267,2019-09-05,3,1969985
"Artik",8,2049267,2019-05-09,18,30884442
"Artik",13,1828248,2019-05-02,18,30884442
"Artik",12,1823878,2019-05-23,18,30884442
"Artik",10,2076353,2019-06-13,18,30884442
"Artik",13,1780739,2019-06-06,18,30884442
"Artik",18,1694353,2019-04-18,18,30884442
"Artik",35,1055745,2019-02-28,18,30884442
"Artik",20,1384422,2019-03-07,18,30884442
"Artik",15,1701036,2019-04-25,18,30884442
"Artik",22,1501403,2019-04-11,18,30884442
"Artik",30,1024475,2019-04-04,18,30884442
"Artik",11,2028205,2019-06-27,18,30884442
"Artik",13,1642897,2019-03-28,18,30884442
"Artik",9,2169893,2019-05-30,18,30884442
"Artik",18,1493640,2019-03-21,18,30884442
"Artik",12,2175083,2019-06-20,18,30884442
"Artik",8,2034372,2019-05-16,18,30884442
"Artik",17,1420433,2019-03-14,18,30884442
"Artik & Asti",6,2564024,2019-08-01,69,112807112
"Artik & Asti",81,609186,2019-01-31,69,112807112
"Artik & Asti",64,671759,2019-01-24,69,112807112
"Artik & Asti",7,2550463,2019-10-31,69,112807112
"Artik & Asti",5,2159138,2019-12-05,69,112807112
"Artik & Asti",14,1882656,2019-06-20,69,112807112
"Artik & Asti",3,3502174,2019-07-18,69,112807112
"Artik & Asti",1,3947514,2019-07-04,69,112807112
"Artik & Asti",3,2878768,2019-10-03,69,112807112
"Artik & Asti",4,2798564,2019-04-11,69,112807112
"Artik & Asti",3,2995595,2019-04-18,69,112807112
"Artik & Asti",2,3302245,2019-09-26,69,112807112
"Artik & Asti",3,2969491,2019-09-05,69,112807112
"Artik & Asti",2,2972680,2019-09-12,69,112807112
"Artik & Asti",5,2443698,2019-10-17,69,112807112
"Artik & Asti",13,1909309,2019-06-27,69,112807112
"Artik & Asti",3,3664387,2019-07-11,69,112807112
"Artik & Asti",5,2152587,2019-11-14,69,112807112
"Artik & Asti",19,1462879,2019-05-16,69,112807112
"Artik & Asti",52,713439,2019-03-14,69,112807112
"Artik & Asti",19,1435054,2019-06-06,69,112807112
"Artik & Asti",10,1842581,2019-05-23,69,112807112
"Artik & Asti",3,3122340,2019-08-08,69,112807112
"Artik & Asti",18,1539278,2019-04-25,69,112807112
"Artik & Asti",58,656767,2019-01-10,69,112807112
"Artik & Asti",11,1872454,2019-05-09,69,112807112
"Artik & Asti",3,3063898,2019-08-15,69,112807112
"Artik & Asti",12,2051865,2019-05-30,69,112807112
"Artik & Asti",53,732684,2019-01-17,69,112807112
"Artik & Asti",5,2395744,2019-11-21,69,112807112
"Artik & Asti",50,802978,2019-03-21,69,112807112
"Artik & Asti",5,2461760,2019-10-10,69,112807112
"Artik & Asti",2,3258534,2019-09-19,69,112807112
"Artik & Asti",60,742135,2019-01-03,69,112807112
"Artik & Asti",3,2748165,2019-10-24,69,112807112
"Artik & Asti",4,3156196,2019-08-29,69,112807112
"Artik & Asti",98,565970,2019-02-28,69,112807112
"Artik & Asti",13,1725832,2019-06-13,69,112807112
"Artik & Asti",18,1587960,2019-04-04,69,112807112
"Artik & Asti",3,3095968,2019-08-22,69,112807112
"Artik & Asti",4,2343329,2019-11-28,69,112807112
"Artik & Asti",47,836076,2019-03-28,69,112807112
"Artik & Asti",7,2227192,2019-11-07,69,112807112
"Artik & Asti",90,591737,2019-02-07,69,112807112
"Artik & Asti",18,1571512,2019-05-02,69,112807112
"Artik & Asti",5,2651984,2019-07-25,69,112807112
"Artik & Asti",91,601858,2019-03-07,69,112807112
"Asti",11,2175105,2019-06-20,18,34968386
"Asti",8,2169954,2019-05-30,18,34968386
"Asti",6,2298929,2019-05-02,18,34968386
"Asti",11,1823896,2019-05-23,18,34968386
"Asti",12,1642916,2019-03-28,18,34968386
"Asti",2,2810168,2019-05-09,18,34968386
"Asti",9,2076399,2019-06-13,18,34968386
"Asti",10,2028247,2019-06-27,18,34968386
"Asti",2,3078413,2019-05-16,18,34968386
"Asti",42,884921,2019-03-14,18,34968386
"Asti",36,1055731,2019-02-28,18,34968386
"Asti",17,1493644,2019-03-21,18,34968386
"Asti",29,1024481,2019-04-04,18,34968386
"Asti",7,2578786,2019-04-18,18,34968386
"Asti",9,2288608,2019-04-11,18,34968386
"Asti",6,2394557,2019-04-25,18,34968386
"Asti",12,1780775,2019-06-06,18,34968386
"Asti",21,1362856,2019-03-07,18,34968386
"Boosin",92,505525,2019-06-13,30,20586435
"Boosin",59,695346,2019-04-11,30,20586435
"Boosin",93,516031,2019-05-16,30,20586435
"Boosin",34,991382,2019-02-14,30,20586435
"Boosin",80,589124,2019-04-18,30,20586435
"Boosin",51,736675,2019-01-17,30,20586435
"Boosin",47,821634,2019-01-03,30,20586435
"Boosin",51,775683,2019-02-07,30,20586435
"Boosin",73,569530,2019-05-09,30,20586435
"Boosin",17,1483519,2019-02-28,30,20586435
"Boosin",59,718686,2019-03-21,30,20586435
"Boosin",50,695225,2019-01-10,30,20586435
"Boosin",97,517735,2019-05-23,30,20586435
"Boosin",85,493718,2019-07-11,30,20586435
"Boosin",96,490172,2019-08-01,30,20586435
"Boosin",99,474945,2019-06-27,30,20586435
"Boosin",33,953126,2019-02-21,30,20586435
"Boosin",91,477171,2019-07-18,30,20586435
"Boosin",71,597959,2019-05-02,30,20586435
"Boosin",41,1028173,2019-03-07,30,20586435
"Boosin",39,818305,2019-01-31,30,20586435
"Boosin",55,702454,2019-04-04,30,20586435
"Boosin",94,502467,2019-06-20,30,20586435
"Boosin",49,758099,2019-01-24,30,20586435
"Boosin",94,497031,2019-06-06,30,20586435
"Boosin",93,471295,2019-07-04,30,20586435
"Boosin",48,829519,2019-03-28,30,20586435
"Boosin",47,795175,2019-03-14,30,20586435
"Boosin",97,523257,2019-05-30,30,20586435
"Boosin",87,557474,2019-04-25,30,20586435
"Dilemma",66,668380,2019-03-21,1,668380
"Dilemma",54,757912,2019-04-25,1,757912
"DSIDE BAND",63,626069,2019-04-04,1,626069
"DZIDZIO",33,868327,2019-07-11,49,49782409
"DZIDZIO",34,898464,2019-07-18,49,49782409
"DZIDZIO",23,1346329,2019-02-14,49,49782409
"DZIDZIO",38,846595,2019-07-25,49,49782409
"DZIDZIO",15,1370749,2019-01-10,49,49782409
"DZIDZIO",31,1038022,2019-11-07,49,49782409
"DZIDZIO",23,1340831,2019-02-07,49,49782409
"DZIDZIO",39,864840,2019-10-03,49,49782409
"DZIDZIO",33,997622,2019-11-21,49,49782409
"DZIDZIO",15,1402446,2019-01-17,49,49782409
"DZIDZIO",31,976494,2019-10-17,49,49782409
"DZIDZIO",33,941056,2019-03-28,49,49782409
"DZIDZIO",38,878960,2019-06-27,49,49782409
"DZIDZIO",30,988422,2019-05-23,49,49782409
"DZIDZIO",38,865924,2019-09-19,49,49782409
"DZIDZIO",13,1685128,2019-01-03,49,49782409
"DZIDZIO",33,1006327,2019-11-28,49,49782409
"DZIDZIO",42,832348,2019-08-29,49,49782409
"DZIDZIO",30,949960,2019-06-06,49,49782409
"DZIDZIO",37,844252,2019-08-15,49,49782409
"DZIDZIO",40,806668,2019-08-01,49,49782409
"DZIDZIO",34,986757,2019-06-20,49,49782409
"DZIDZIO",33,986424,2019-05-30,49,49782409
"DZIDZIO",27,1182992,2019-02-28,49,49782409
"DZIDZIO",19,1367693,2019-01-24,49,49782409
"DZIDZIO",24,1269504,2019-02-21,49,49782409
"DZIDZIO",30,960997,2019-10-24,49,49782409
"DZIDZIO",33,883757,2019-06-13,49,49782409
"DZIDZIO",32,1073419,2019-12-05,49,49782409
"DZIDZIO",32,933710,2019-04-25,49,49782409
"DZIDZIO",30,1049011,2019-05-16,49,49782409
"DZIDZIO",39,932368,2019-03-21,49,49782409
"DZIDZIO",35,897407,2019-09-26,49,49782409
"DZIDZIO",35,846069,2019-07-04,49,49782409
"DZIDZIO",33,1112830,2019-03-07,49,49782409
"DZIDZIO",30,983219,2019-11-14,49,49782409
"DZIDZIO",38,825270,2019-08-08,49,49782409
"DZIDZIO",22,1285022,2019-01-31,49,49782409
"DZIDZIO",29,1052980,2019-05-09,49,49782409
"DZIDZIO",33,872739,2019-09-12,49,49782409
"DZIDZIO",29,1069878,2019-10-31,49,49782409
"DZIDZIO",34,971057,2019-04-18,49,49782409
"DZIDZIO",26,1251850,2019-05-02,49,49782409
"DZIDZIO",45,806168,2019-09-05,49,49782409
"DZIDZIO",37,853511,2019-08-22,49,49782409
"DZIDZIO",32,1032679,2019-03-14,49,49782409
"DZIDZIO",41,805521,2019-04-04,49,49782409
"DZIDZIO",34,907330,2019-10-10,49,49782409
"DZIDZIO",41,832483,2019-04-11,49,49782409
"Govor",16,1302200,2019-01-10,1,1302200
"Алина Гросу",82,587369,2019-03-28,4,2585438
"Алина Гросу",46,802447,2019-04-11,4,2585438
"Алина Гросу",62,690522,2019-03-21,4,2585438
"Алина Гросу",92,505100,2019-04-04,4,2585438
"Jamala",38,892982,2019-05-30,1,892982
"Jerry Heil",71,635451,2019-10-31,17,14547672
"Jerry Heil",49,719181,2019-06-06,17,14547672
"Jerry Heil",49,699897,2019-06-13,17,14547672
"Jerry Heil",32,972530,2019-10-17,17,14547672
"Jerry Heil",5,2561498,2019-10-03,17,14547672
"Jerry Heil",92,530911,2019-11-07,17,14547672
"Jerry Heil",18,1343634,2019-10-10,17,14547672
"Jerry Heil",51,718255,2019-10-24,17,14547672
"Jerry Heil",42,844936,2019-05-30,17,14547672
"Jerry Heil",83,577252,2019-08-22,17,14547672
"Jerry Heil",56,652093,2019-06-27,17,14547672
"Jerry Heil",37,901828,2019-05-23,17,14547672
"Jerry Heil",63,656348,2019-08-15,17,14547672
"Jerry Heil",50,656587,2019-07-04,17,14547672
"Jerry Heil",46,713052,2019-06-20,17,14547672
"Jerry Heil",57,667070,2019-05-16,17,14547672
"Jerry Heil",53,697149,2019-08-08,17,14547672
"Kavabanga Depo Kolibri",42,853186,2019-10-03,41,35190004
"Kavabanga Depo Kolibri",29,1064037,2019-11-07,41,35190004
"Kavabanga Depo Kolibri",34,885658,2019-04-04,41,35190004
"Kavabanga Depo Kolibri",57,716227,2019-05-30,41,35190004
"Kavabanga Depo Kolibri",35,905132,2019-09-05,41,35190004
"Kavabanga Depo Kolibri",38,838950,2019-08-15,41,35190004
"Kavabanga Depo Kolibri",66,661259,2019-05-23,41,35190004
"Kavabanga Depo Kolibri",63,613399,2019-06-13,41,35190004
"Kavabanga Depo Kolibri",45,839552,2019-02-28,41,35190004
"Kavabanga Depo Kolibri",68,584997,2019-07-25,41,35190004
"Kavabanga Depo Kolibri",40,900334,2019-11-28,41,35190004
"Kavabanga Depo Kolibri",51,651257,2019-07-04,41,35190004
"Kavabanga Depo Kolibri",27,1073292,2019-10-24,41,35190004
"Kavabanga Depo Kolibri",31,982981,2019-08-22,41,35190004
"Kavabanga Depo Kolibri",29,1063228,2019-10-17,41,35190004
"Kavabanga Depo Kolibri",52,720048,2019-05-16,41,35190004
"Kavabanga Depo Kolibri",27,1052309,2019-11-14,41,35190004
"Kavabanga Depo Kolibri",71,599041,2019-08-08,41,35190004
"Kavabanga Depo Kolibri",57,638493,2019-06-20,41,35190004
"Kavabanga Depo Kolibri",39,863673,2019-09-19,41,35190004
"Kavabanga Depo Kolibri",28,1080550,2019-10-10,41,35190004
"Kavabanga Depo Kolibri",67,559167,2019-07-11,41,35190004
"Kavabanga Depo Kolibri",37,879692,2019-09-26,41,35190004
"Kavabanga Depo Kolibri",40,846637,2019-04-25,41,35190004
"Kavabanga Depo Kolibri",32,1003043,2019-11-21,41,35190004
"Kavabanga Depo Kolibri",31,1073595,2019-04-11,41,35190004
"Kavabanga Depo Kolibri",51,803880,2019-12-05,41,35190004
"Kavabanga Depo Kolibri",63,631138,2019-05-09,41,35190004
"Kavabanga Depo Kolibri",24,1218893,2019-10-31,41,35190004
"Kavabanga Depo Kolibri",76,561442,2019-08-01,41,35190004
"Kavabanga Depo Kolibri",53,671750,2019-06-27,41,35190004
"Kavabanga Depo Kolibri",42,897622,2019-03-21,41,35190004
"Kavabanga Depo Kolibri",16,1562419,2019-03-07,41,35190004
"Kavabanga Depo Kolibri",54,688420,2019-06-06,41,35190004
"Kavabanga Depo Kolibri",29,1046926,2019-03-14,41,35190004
"Kavabanga Depo Kolibri",66,645294,2019-05-02,41,35190004
"Kavabanga Depo Kolibri",44,868518,2019-03-28,41,35190004
"Kavabanga Depo Kolibri",61,600237,2019-07-18,41,35190004
"Kavabanga Depo Kolibri",29,1112611,2019-04-18,41,35190004
"Kavabanga Depo Kolibri",29,977587,2019-09-12,41,35190004
"Kavabanga Depo Kolibri",32,953530,2019-08-29,41,35190004
"KAZKA",30,917904,2019-09-05,49,70549666
"KAZKA",33,891993,2019-06-06,49,70549666
"KAZKA",53,745163,2019-11-14,49,70549666
"KAZKA",36,868339,2019-09-19,49,70549666
"KAZKA",1,4312847,2019-01-03,49,70549666
"KAZKA",47,819557,2019-10-31,49,70549666
"KAZKA",30,997014,2019-08-22,49,70549666
"KAZKA",61,712741,2019-11-21,49,70549666
"KAZKA",4,2467184,2019-01-24,49,70549666
"KAZKA",3,2885324,2019-01-10,49,70549666
"KAZKA",32,908657,2019-09-26,49,70549666
"KAZKA",44,795949,2019-10-17,49,70549666
"KAZKA",25,1300149,2019-05-02,49,70549666
"KAZKA",10,2251536,2019-02-07,49,70549666
"KAZKA",20,1376504,2019-07-04,49,70549666
"KAZKA",29,980915,2019-08-29,49,70549666
"KAZKA",10,1715120,2019-03-21,49,70549666
"KAZKA",42,801382,2019-10-10,49,70549666
"KAZKA",37,834239,2019-09-12,49,70549666
"KAZKA",35,906225,2019-10-03,49,70549666
"KAZKA",9,2117435,2019-03-07,49,70549666
"KAZKA",6,2518659,2019-02-28,49,70549666
"KAZKA",34,922791,2019-08-01,49,70549666
"KAZKA",5,2195109,2019-01-31,49,70549666
"KAZKA",23,1276881,2019-05-09,49,70549666
"KAZKA",26,1208788,2019-04-18,49,70549666
"KAZKA",23,1240997,2019-04-25,49,70549666
"KAZKA",17,1480833,2019-03-28,49,70549666
"KAZKA",27,1135729,2019-07-18,49,70549666
"KAZKA",29,1016727,2019-05-23,49,70549666
"KAZKA",35,934577,2019-08-08,49,70549666
"KAZKA",17,1536022,2019-06-27,49,70549666
"KAZKA",25,1178718,2019-07-11,49,70549666
"KAZKA",25,1342314,2019-04-11,49,70549666
"KAZKA",61,683378,2019-11-28,49,70549666
"KAZKA",27,1103652,2019-05-16,49,70549666
"KAZKA",9,2294668,2019-06-20,49,70549666
"KAZKA",28,1026768,2019-07-25,49,70549666
"KAZKA",11,1812269,2019-03-14,49,70549666
"KAZKA",34,967851,2019-05-30,49,70549666
"KAZKA",4,2995206,2019-02-14,49,70549666
"KAZKA",6,2965581,2019-02-21,49,70549666
"KAZKA",36,1009632,2019-12-05,49,70549666
"KAZKA",50,752719,2019-11-07,49,70549666
"KAZKA",24,1248547,2019-08-15,49,70549666
"KAZKA",32,954824,2019-06-13,49,70549666
"KAZKA",22,1399242,2019-04-04,49,70549666
"KAZKA",2,2952619,2019-01-17,49,70549666
"KAZKA",43,788388,2019-10-24,49,70549666
"LOBODA",20,1430338,2019-03-28,49,77998175
"LOBODA",19,1318138,2019-10-10,49,77998175
"LOBODA",12,1696277,2019-03-14,49,77998175
"LOBODA",15,1657620,2019-05-23,49,77998175
"LOBODA",9,2114868,2019-01-03,49,77998175
"LOBODA",18,1639105,2019-02-07,49,77998175
"LOBODA",16,1551428,2019-01-31,49,77998175
"LOBODA",5,2520944,2019-04-25,49,77998175
"LOBODA",22,1308855,2019-07-25,49,77998175
"LOBODA",18,1425962,2019-09-26,49,77998175
"LOBODA",16,1604053,2019-06-06,49,77998175
"LOBODA",20,1394827,2019-10-31,49,77998175
"LOBODA",17,1300319,2019-10-24,49,77998175
"LOBODA",22,1276746,2019-11-21,49,77998175
"LOBODA",15,1532953,2019-03-21,49,77998175
"LOBODA",19,1429970,2019-10-03,49,77998175
"LOBODA",14,1560384,2019-07-04,49,77998175
"LOBODA",19,1414773,2019-09-12,49,77998175
"LOBODA",17,1643518,2019-05-30,49,77998175
"LOBODA",12,2032040,2019-05-02,49,77998175
"LOBODA",13,1608951,2019-12-05,49,77998175
"LOBODA",20,1333240,2019-08-15,49,77998175
"LOBODA",18,1369878,2019-11-07,49,77998175
"LOBODA",22,1286264,2019-08-22,49,77998175
"LOBODA",24,1259417,2019-11-28,49,77998175
"LOBODA",12,1759089,2019-01-24,49,77998175
"LOBODA",9,2032824,2019-05-09,49,77998175
"LOBODA",16,1540627,2019-07-11,49,77998175
"LOBODA",16,1588885,2019-06-27,49,77998175
"LOBODA",10,1749598,2019-01-17,49,77998175
"LOBODA",12,1701292,2019-03-07,49,77998175
"LOBODA",11,1811295,2019-05-16,49,77998175
"LOBODA",24,1233588,2019-08-08,49,77998175
"LOBODA",20,1567789,2019-04-18,49,77998175
"LOBODA",20,1305725,2019-08-01,49,77998175
"LOBODA",10,2079599,2019-02-21,49,77998175
"LOBODA",14,1799816,2019-04-11,49,77998175
"LOBODA",22,1232199,2019-09-05,49,77998175
"LOBODA",17,1617066,2019-06-20,49,77998175
"LOBODA",17,1297046,2019-10-17,49,77998175
"LOBODA",10,2160576,2019-02-14,49,77998175
"LOBODA",13,1717113,2019-02-28,49,77998175
"LOBODA",16,1542472,2019-07-18,49,77998175
"LOBODA",5,2295691,2019-06-13,49,77998175
"LOBODA",22,1285919,2019-09-19,49,77998175
"LOBODA",15,1695060,2019-04-04,49,77998175
"LOBODA",22,1301467,2019-11-14,49,77998175
"LOBODA",21,1267988,2019-08-29,49,77998175
"LOBODA",10,1704583,2019-01-10,49,77998175
"Мари Краймбрери",71,652523,2019-03-28,12,8678928
"Мари Краймбрери",63,667762,2019-01-31,12,8678928
"Мари Краймбрери",62,698840,2019-02-14,12,8678928
"Мари Краймбрери",99,532706,2019-01-24,12,8678928
"Мари Краймбрери",59,713076,2019-02-07,12,8678928
"Мари Краймбрери",30,1064797,2019-02-21,12,8678928
"Мари Краймбрери",76,571956,2019-04-04,12,8678928
"Мари Краймбрери",56,691063,2019-03-14,12,8678928
"Мари Краймбрери",97,493040,2019-04-11,12,8678928
"Мари Краймбрери",40,998363,2019-02-28,12,8678928
"Мари Краймбрери",72,641957,2019-03-21,12,8678928
"Мари Краймбрери",43,952845,2019-03-07,12,8678928
"MARUV",24,1270975,2019-02-14,9,8399169
"MARUV",32,1030594,2019-02-21,9,8399169
"MARUV",74,641675,2019-01-24,9,8399169
"MARUV",11,1780981,2019-02-28,9,8399169
